year,country_code,armed,arms_import,exports,foreign_in_invesment,gdp_growth,gdp_per_capita,gross_expenditure,public_health_expenditure,total_health_expenditure,imports,life_expectancy
2012,AFG,338150.0,521000000.0,5.516850325,0.29959210199999997,14.43474129,690.842629,27442067590.0,11.668975999999999,8.51891268,8038495178.0,59.67960976
2012,ALB,14750.0,15000000.0,33.35164262,7.468317556000001,1.4199999980000002,4247.839852,14615604427.0,9.71053128,5.58917285,6404670234.0,77.44397561
2012,ARE,51000.0,1088000000.0,100.6335727,2.364117871,6.792621627999999,41712.39795,278925000000.0,8.69735577,3.44599956,281291000000.0,77.02414634
2012,ARG,104350.0,3000000.0,16.23785946,2.8066718999999996,-1.026420463,12970.1739,535340000000.0,8.741289300000002,5.01904817,78013690408.0,75.8162439
2012,ARM,49100.0,10500000.0,27.56672188,4.676727878,7.2000000029999995,3565.517575,12831674814.0,7.43875474,4.48215825,5139753188.0,74.45209756
2012,AUS,56200.0,876000000.0,21.27942397,3.743171165,3.632720303,67646.10385,1539580000000.0,17.31142544,9.35738514,329269000000.0,82.04634146
2012,AUT,22800.0,8000000.0,53.79680418,1.281043048,0.7457560999999999,48333.57273,396884000000.0,16.29661859,11.16821981,208628000000.0,80.93658537
2012,AZE,81950.0,339000000.0,53.70923234,7.701411612,2.200000188,7393.771876999999,49438136456.0,3.805179,5.36689762,17622072301.0,70.62395122
2012,BDI,51000.0,5000000.0,8.950128922000001,0.02446705,4.01936553,244.19648619999998,3177477490.0,14.05947053,8.20755375,926374220.0,55.78929268
2012,BEL,30700.0,32000000.0,82.30580645,1.342344288,0.137051659,44740.5717,494815000000.0,14.85258063,10.53975001,406718000000.0,80.38536585
2012,BFA,11450.0,4000000.0,25.51852207,2.948965765,6.452674753999999,673.0625112,12466679726.0,11.69373226,5.32688534,4149590597.0,57.87931707
2012,BGD,220950.0,206000000.0,20.16158886,1.18810285,6.521435078,858.9333626,143741000000.0,6.92130549,3.08120807,37272043677.0,70.86026829
2012,BGR,47300.0,5000000.0,60.80181048,3.317271882,0.030943607999999997,7378.025539,55613211564.0,11.5357273,7.10569778,34484200394.0,74.31463415
2012,BHR,19460.0,26000000.0,74.32099321,2.89835267,3.72810843,23057.76758,22615531915.0,9.34712667,4.36591164,14719414894.0,76.40763415
2012,BHS,850.0,26000000.0,44.4489787,6.26466315,3.0866567789999997,22554.51572,9643168400.0,15.13047272,7.43010401,4977420900.0,74.91446341
2012,BIH,10500.0,215165420.22787395,32.20047833,2.27795997,-0.9331875909999999,4494.64064,21281143082.0,14.70695061,9.9397549,9614630141.0,76.12017073
2012,BLR,158000.0,75000000.0,81.34081762,2.300699126,1.7313912230000001,6721.483351000001,60680241236.0,13.21285743,5.00822363,48810119226.0,71.96585366
2012,BLZ,1050.0,215165420.22787395,65.30162192,12.33912198,3.740409207,4674.293447,1550415811.0,12.471524699999998,5.45306037,1004309377.0,69.90514634
2012,BOL,83200.0,12000000.0,47.16597027,3.913547587,5.1223709930000005,2645.291999,24543125904.0,11.33462372,5.556991099999999,10233285094.0,67.44546341
2012,BRA,713480.0,311000000.0,11.70305477,3.513179493,1.921150318,12179.69062,2498700000000.0,6.8625061,8.26089862,322009000000.0,73.83958537
2012,BTN,192336.934,1000000.0,38.72533426,1.336885401,5.071709815,2452.1515879999997,2267091090.0,7.78580725,3.70384573,1149629846.0,68.72290244
2012,CAF,8150.0,7000000.0,11.57194295,3.2064681860000004,4.1127978689999996,472.81821809999997,2404038885.0,10.5066313,3.62284672,472607624.6,49.10529268
2012,CAN,66000.0,205000000.0,30.2136045,2.706688355,1.745472283,52496.69487,1860230000000.0,18.56502884,10.77921223,587121000000.0,81.56243902
2012,CHE,22650.0,11000000.0,67.33849074,6.0060523329999995,1.0481026359999999,83164.38795,595665000000.0,22.00786145,11.58918948,378448000000.0,82.69756098
2012,CHL,106100.0,62000000.0,34.30717321,10.72912999,5.45713061,15253.33083,265758000000.0,14.65070469,7.23794642,91519613967.0,80.89485366
2012,CHN,2993000.0,1703000000.0,25.40819715,2.817739005,7.85626211,6337.882993,8328680000000.0,10.48547293,5.26451547,1943220000000.0,75.39292683
2012,CIV,25000.0,6000000.0,48.47613246,1.221403625,10.7065041,1281.382865,25919954102.0,8.52093645,6.14322312,11987610452.0,50.86334146
2012,CMR,23200.0,90000000.0,18.795153600000003,1.992267244,4.5887387010000005,1222.192142,28540177397.0,5.45882966,4.33911457,7043584954.0,54.5875122
2012,COD,134250.0,10000000.0,33.99501346,-1.531265919,7.157859628,390.7066035,28966806688.0,11.6025168,3.7652661,10839711772.0,57.85407317
2012,COG,12000.0,23000000.0,83.77514629,15.73259992,3.7999958539999996,3191.164299,10471019101.0,8.70635969,3.97634646,8251794948.0,60.92390244
2012,COL,440224.0,207000000.0,18.25876189,4.068437069,4.043943806000001,7885.061292,376234000000.0,18.87406411,6.93347013,74069955861.0,73.63078049
2012,CYP,12750.0,6000000.0,53.50644681,198.30544780000002,-3.1577776739999996,28951.155560000003,25383142747.0,7.45557803,7.43887767,13754079404.0,79.76226829
2012,CZE,26750.0,22000000.0,76.17007462,4.548829363,-0.7998442809999999,19729.87051,197417000000.0,14.24886832,7.54794135,147999000000.0,78.07560976
2012,DEU,186450.0,157000000.0,45.98253972,1.847194475,0.49199282899999996,44065.24891,3328140000000.0,18.81069824,10.99191973,1413770000000.0,80.53902439
2012,DJI,12950.0,6000000.0,39.14798129337704,8.126150917,4.8423795730000005,1586.780133,578660241178.375,14.13973888,8.94711732,156643037474.63104,61.29597561
2012,DNK,17200.0,109000000.0,54.63049643,0.8417971059999999,0.226468476,58507.500210000006,307455000000.0,15.85160701,10.9838191,159029000000.0,80.05121951
2012,DOM,61000.0,6500000.0,24.64260604,5.635529743999999,2.793910372,5968.826218,66189500993.0,14.35662097,4.26412797,20512637647.0,73.13531707
2012,DZA,317200.0,807000000.0,36.89259508,0.7177331690000001,3.374768651,5583.6161520000005,191536000000.0,9.98819159,6.14311272,59611982759.0,74.32409756
2012,ECU,58500.0,88000000.0,30.16480927,0.644911279,5.641962067000001,5702.168288,89174386000.0,7.32124371,6.47936086,27772113000.0,75.433
2012,EGY,835500.0,281000000.0,16.57611976,1.012363434,2.193878354,3226.131379,298474000000.0,5.84574557,5.29360162,67928934857.0,70.72914634
2012,ESP,215600.0,238000000.0,30.70166327,1.8649828919999998,-2.929811429,28562.29324,1316320000000.0,14.088636300000001,9.38884953,390534000000.0,82.42682927
2012,EST,5750.0,2000000.0,85.98943177,7.759293013,4.307279191,17421.88799,22686567085.0,12.99489496,6.36428657,19457991139.0,76.32682927
2012,ETH,138000.0,193000000.0,13.767298199999999,0.643172898,8.647811635,469.7923039,51047448883.0,18.53255031,5.76934846,13699443640.0,62.79353659
2012,FIN,25000.0,76000000.0,39.48136321,1.9215890080000002,-1.42618936,47415.55987,260411000000.0,12.416733599999999,9.29823712,105055000000.0,80.62682927
2012,FRA,325600.0,91000000.0,28.52181363,1.228845226,0.18269303399999998,40838.02444,2739250000000.0,15.53038182,11.43898967,822620000000.0,81.96829268
2012,GBR,169150.0,578000000.0,29.79867992,1.766845925,1.313018598,41538.30726,2704980000000.0,16.21255508,9.41083326,847449000000.0,80.90487805
2012,GEO,32350.0,2666666.667,38.15052258,5.245677071,6.350481943999999,4142.869175,18959958578.0,3.81764393,8.57085151,9158996851.0,74.35270732
2012,GHA,15500.0,39000000.0,40.35921817,7.855367882,9.292511869,1641.825922,47161056966.0,9.31846833,4.7900551,22147874708.0,60.97702439
2012,GIN,12300.0,4000000.0,29.71700213,10.6824679,3.9441119889999996,487.3457142,7495159885.0,8.03499368,5.39134293,3512060914.0,57.63763415
2012,GNB,6450.0,215165420.22787395,14.33548354,0.665431601,-1.797988509,580.6429369,1107140883.0,10.39683595,5.96143163,254280383.1,54.503512199999996
2012,GRC,147350.0,37000000.0,28.68399402,0.6770556679999999,-7.300493935,22242.681930000002,256602000000.0,11.37497184,9.24254484,81399960099.0,80.63414634
2012,GTM,42300.0,2000000.0,24.868693899999997,2.507795392,2.969857427,3278.626346,56054639492.0,14.68703536,6.32933891,18197162805.0,71.24939024
2012,HND,20000.0,13000000.0,50.90279882,5.801733362999999,4.128687749,2378.519569,21967045179.0,16.69053405,9.7798508,12932895543.0,72.75502439
2012,HRV,19550.0,17000000.0,41.57437776,2.593772173,-2.187429172,13235.977570000001,56218026648.0,13.99284874,7.79722563,23216137497.0,76.92439024
2012,HUN,38500.0,6000000.0,86.76883998,8.340240469,-1.602512404,12834.32349,118774000000.0,10.28327255,7.74065817,101928000000.0,75.06341463
2012,IDN,676500.0,218000000.0,24.59437879,2.309780327,6.030050652999999,3700.523525,921488000000.0,6.09337672,2.89787034,229362000000.0,68.51956098
2012,IND,2728700.0,4465000000.0,24.52796101,1.3125881209999999,5.4840165370000005,1446.767109,1951030000000.0,4.48916295,4.389042,571307000000.0,67.28987805
2012,IRL,9350.0,1000000.0,106.77560600000001,18.13913301,-1.10288038,49231.361619999996,187086000000.0,13.44324909,8.32055052,202386000000.0,80.84634146
2012,IRN,563000.0,46000000.0,22.36089636,0.7938794309999999,-6.608687255,7710.513314,577644000000.0,17.53158028,6.9838344,121740000000.0,74.79934146
2012,IRQ,802400.0,476000000.0,44.50843536,1.5596259719999999,13.93643017,6614.584821,184411000000.0,6.46038337,5.26411877,63438830315.0,68.94973171
2012,ISL,180.0,50000000.0,56.97326791,1.6791004390000002,1.217535365,44333.85018,13369433476.0,15.38332209,8.68327575,7251645264.0,82.91707317
2012,ISR,184500.0,120000000.0,36.149001299999995,3.286578553,2.381800262,32569.596830000002,257019000000.0,11.76268565,7.73373175,92511735263.0,81.70487805
2012,ITA,359500.0,219000000.0,28.58636715,0.001679455,-2.819019127,34814.12436,2052350000000.0,13.77259868,9.28206804,572068000000.0,82.23902439
2012,JAM,2830.0,1500000.0,30.19283277,2.792335064,-0.621954187,5357.443968,18011479320.0,7.13426811,5.65711987,7678322135.0,75.29982927
2012,JOR,115500.0,176000000.0,46.24668328,4.89130823,2.651203349,4423.117354999999,39605305775.0,17.46491791,8.00466753,22975492958.0,73.74641463
2012,JPN,259800.0,244000000.0,14.54475256,0.008817409,1.495028543,48629.199689999994,6299150000000.0,20.04513562,10.16980518,998182000000.0,83.09609756
2012,KAZ,70500.0,94000000.0,44.10966304,6.5616482110000005,4.8,12387.18982,177848000000.0,10.90237004,4.3153084999999995,61596840640.0,69.61
2012,KEN,29100.0,61000000.0,19.81682883,0.324161235,4.554942796000001,1184.923256,58268322576.0,13.35301606,5.49053237,17847854479.0,60.27278049
2012,KGZ,20400.0,4000000.0,44.40420097,4.911331225,-0.088150193,1177.974735,9965011861.0,12.15141399,6.97356873,6292831537.0,70.00243902
2012,KHM,191300.0,77000000.0,57.95598982,10.26455817,7.261322742999999,946.4766787000001,14715513655.0,7.258156,6.23920837,8813214288.0,67.32887805
2012,KOR,659500.0,1077000000.0,56.34025057,0.776565597,2.292382426,24453.97191,1188640000000.0,11.76885119,7.01258591,654764000000.0,81.21341463
2012,KWT,22600.0,31000000.0,74.73184708,1.650249066,6.626388081,50903.9046,89729188996.0,5.76990192,2.57201714,45744908896.0,74.35185366
2012,LAO,129100.0,19000000.0,38.85339188,3.1462923060000003,8.026283279,1445.416201,10551304953.0,3.44296158,2.11887109,4830274612.0,65.2485122
2012,LBN,80000.0,31000000.0,56.48890897,7.310703576,2.2,8773.931956,52092625085.0,10.72474485,6.9909270999999995,33293616498.0,78.90846341
2012,LBR,2050.0,215165420.22787395,43.3880726,37.25727456,7.99445127,414.1851553999999,2930500000.0,11.57961378,10.18650065,1948000000.0,60.20436585
2012,LBY,7000.0,73000000.0,54.82944514,4.803079306530005,-62.07591958,5517.779568999999,31216304525.0,7.939127099999999,4.29879351,32541808671.0,71.64956098
2012,LKA,223100.0,15333333.33,19.81648474,1.3752098419999998,9.144579388,3350.521375,76550115436.0,6.19125034,3.20966147,21677008606.0,74.5312439
2012,LSO,2000.0,215165420.22787395,39.14798129337704,2.1248606359999997,5.466489433,1295.960091,578660241178.375,13.12222222,11.14497984,156643037474.63104,48.836000000000006
2012,MAR,245800.0,836000000.0,34.929547899999996,2.8920944210000004,3.009961262,2931.4002,113267000000.0,6.04558367,6.14685256,49325135599.0,73.36465854
2012,MDA,7750.0,215165420.22787395,43.48291631,3.879096198,-0.700000153,2046.536787,10231992420.0,13.76541115,11.87332928,6114900012.0,70.77248780000001
2012,MDG,21600.0,215165420.22787395,29.00995501,8.170575686,3.0275080880000003,444.9584938,11403463017.0,13.51079454,3.45623205,4361406682.0,64.24665854
2012,MDV,192336.934,5000000.0,99.0396756,9.052764512000001,2.4964899959999998,6541.070465,2171356842.0,19.25503431,9.16358288,2147172876.0,76.46234146
2012,MEX,329750.0,259000000.0,32.64495601,1.773516145,4.018173869,9720.561673999999,1199870000000.0,11.46749923,6.21482997,400635000000.0,76.35409756
2012,MKD,8000.0,1000000.0,45.37446727,3.467445259,-0.45618441200000004,4709.511628,11837177884.0,13.30669833,6.76264338,6513782541.0,75.03126829
2012,MLI,7800.0,9000000.0,27.85634001,3.197567293,-0.8361788659999999,772.2499217000001,12866786112.0,12.41679295,6.46533952,3890132375.0,57.095
2012,MLT,2130.0,8000000.0,164.8096771,35.896688,2.851275336,22081.60163,8788256456.0,15.63718885,9.95129454,14791083130.0,80.74634146
2012,MMR,513250.0,398000000.0,11.49836108,2.23310075,7.332670447000001,1136.786368,59365504045.0,3.28063395,2.21823163,6502481977.0,65.42778049
2012,MNE,12180.0,215165420.22787395,43.67249667,15.12722657,-2.723766992,6586.80384,5086056611.0,9.84266145,7.247397099999999,2783513857.0,75.70507317
2012,MOZ,11200.0,10500000.0,32.37613301,36.91446508,7.1981858260000005,593.2193071,22299129482.0,8.8123221,5.57950644,11976163793.0,54.21212195
2012,MYS,133600.0,47000000.0,79.29989261,2.829059379,5.474385463,10834.65908,280615000000.0,5.70728098,4.01140506,215525000000.0,74.42331707
2012,NER,10700.0,8333333.333,21.85891404,12.25863127,11.81366328,393.643423,8157283780.0,7.5986349,6.10930646,2732565813.0,60.07253659
2012,NGA,162000.0,7000000.0,31.43874755,1.546823791,4.279277314,2716.715928,372517000000.0,7.43004153,3.2990842000000002,59150091916.0,52.105
2012,NIC,12000.0,14000000.0,45.35468532,7.354263926000001,5.590562192999999,1776.2092440000001,12531820177.0,18.67956029,8.04170642,6827482053.0,74.21246341
2012,NLD,43300.0,376000000.0,81.93622087,28.92283586,-1.0570374040000001,49474.705610000005,749355000000.0,20.34961413,11.01234745,599616000000.0,81.10487805
2012,NPL,157750.0,7333333.333,10.07389298,0.47898355600000003,4.781192258,698.4098897000001,23722191553.0,11.81849299,5.8926379,6450415421.0,68.82331707
2012,NZL,8550.0,30000000.0,28.79181269,2.267149573,2.3296842630000003,40066.5648,175391000000.0,23.13137622,11.53033809,49624735571.0,81.15609756
2012,PAK,947800.0,1052000000.0,12.39666276,0.38282651700000003,3.50703342,1264.900909,242362000000.0,4.72960635,2.75972728,45794092923.0,65.71687805
2012,PER,192000.0,10000000.0,27.44961437,6.187728882999999,6.139724706,6386.374449,188215000000.0,13.87253141,5.17591754,48479266166.0,74.05765854
2012,PHL,165500.0,16000000.0,30.81904716,1.2856924459999999,6.683810237,2604.655997,258248000000.0,8.24017013,4.45815444,85232376956.0,68.00707317
2012,PRY,25450.0,7000000.0,49.92148468,3.030657918,-1.238968506,3855.572185,24296592422.0,11.46093629,10.33407449,11979621541.0,72.654
2012,QAT,11800.0,319000000.0,76.47241329999999,0.211888706,4.687259177,92692.64331,98650824176.0,5.83442378,2.15608952,54693406593.0,78.22765854
2012,RUS,1364000.0,103000000.0,27.38033591,2.33106968,3.517941865,15154.456869999998,2023000000000.0,10.17920405,6.87955814,447048000000.0,70.07219512
2012,RWA,35000.0,5000000.0,12.87485908,2.2136079580000003,8.788351534,667.4145823,8548008929.0,10.436219,7.67761838,2257872479.0,62.79936585
2012,SAU,249000.0,1025000000.0,54.42013942,1.6598239890000002,5.38446595,24883.18971,549742000000.0,7.74907372,3.86342862,215206000000.0,74.01602439
2012,SDN,264300.0,95000000.0,9.219191684,3.392938459,0.521559267,1806.450797,72405703918.0,11.64949118,8.20038881,10560705290.0,62.83219512
2012,SEN,18600.0,12000000.0,27.95058619,1.9457017419999998,4.411180283,1030.04451,17178967144.0,7.47616648,4.31118548,6952183577.0,65.31887805
2012,SOM,20000.0,2000000.0,14.51882427,8.242563606000001,2.6982114735400002,535.8003865000001,8308000000.0,11.433665833446423,6.742246179071436,3485666667.0,54.6902439
2012,SRB,28150.0,215165420.22787395,36.92831816,3.1321259830000003,-1.015270388,5659.380204,47533372057.0,13.11907456,9.89106186,21836509486.0,74.83658537
2012,SSD,210000.0,2000000.0,10.12161632,1.552733098,-46.08212237,944.2828116000001,14012203390.0,4.0,2.7738403999999997,4692881356.0,54.727
2012,SWE,16100.0,206000000.0,46.3231383,0.785748042,-0.286320615,57134.07707000001,517060000000.0,19.16155869,11.80240408,225122000000.0,81.70487805
2012,SYR,178000.0,371000000.0,39.14798129337704,4.803079306530005,2.6982114735400002,13896.061104882936,578660241178.375,4.79576059,3.2546046000000004,156643037474.63104,70.78590244
2012,TCD,34850.0,4000000.0,38.46805422,4.687821048,8.882576072,972.6794135,12818208376.0,5.93769915,3.0003298,5207893610.0,50.78139024
2012,THA,453550.0,285000000.0,69.30323088,3.246750212,7.230959189,5915.221147,393949000000.0,13.66849167,4.169548908,271993000000.0,74.07190244
2012,TJK,16300.0,3000000.0,21.5400245,3.135673899,7.499999169,962.4408177000001,11262177259.0,7.48547553,6.39187459,5273288262.0,69.16697561
2012,TKM,22000.0,115000000.0,73.25809894,8.900017811,11.09999996,6797.721165999999,25014093193.0,8.6813085,1.96187546,15610514807.0,65.31158537
2012,TTO,4050.0,12000000.0,54.28506548,9.546685528,1.29397895,19152.18149,21514586708.0,7.75871352,5.78214255,9768516237.0,70.15139024
2012,TUN,47800.0,24500000.0,49.39598746,3.4505439630000003,3.9976661989999998,4139.53811,49193994494.0,14.16313675,7.17870481,26399833536.0,74.66221951
2012,TUR,612800.0,1503000000.0,26.29611119,1.683942724,2.127460709,10539.36545,829589000000.0,10.76843789,5.2363833,248166000000.0,74.63680488
2012,TZA,28400.0,115000000.0,21.28530986,4.604118217,5.141013621,827.5288807999999,43710445093.0,15.92467567,5.72109354,12942645182.0,63.52090244
2012,UGA,46800.0,219000000.0,19.89502016,5.1279610810000005,3.8342867419999997,664.0051546,26491409378.0,14.33571504,7.58352882,7661777289.0,57.10019512
2012,UKR,214850.0,9500000.0,35.41546087,4.650663252,0.238681306,3855.4212799999996,212620000000.0,11.76675505,7.46947303,99091978476.0,70.94414634
2012,USA,1492200.0,1196000000.0,13.606608499999998,1.50422262,2.224030854,51433.04709,16720900000000.0,20.07766335,17.01736133,2763840000000.0,78.74146341
2012,UZB,68000.0,47500000.0,27.33478878,1.086497309,8.200000001,1740.468298,54490157817.0,9.58004751,6.49281819,16833902091.0,68.10197561
2012,VEN,115000.0,680000000.0,26.17101425,1.307678984,5.625956975,12771.59504,373895000000.0,5.90592072,4.80160508,92395390157.0,73.92573171
2012,YEM,137900.0,38000000.0,24.86371401,-0.040222174,2.392990209,1422.723779,39520005560.0,3.93250762,5.73349373,12920753594.0,63.32729268
2012,ZAF,62100.0,132000000.0,29.72280015,1.16718037,2.2132589780000003,7548.43975,402097000000.0,14.44375656,8.79451471,123558000000.0,56.09831707
2012,ZWE,50800.0,215165420.22787395,32.89230032,2.823029384,10.56520427,850.8276966,16150539900.0,9.69128119,6.68618346,7834073600.0,53.64307317
2013,AFG,330650.0,235000000.0,6.307895041,0.197860045,1.9591228930000002,653.3474881,28756442476.0,10.591285000000001,8.13486556,9974609899.0,60.02826829
2013,ALB,8500.0,7000000.0,35.44905893,9.80972069,1.109999993,4412.345578,15085640093.0,9.76242119,5.65513948,6835365179.0,77.64046341
2013,ARE,63000.0,2241000000.0,101.02233299999999,2.442364101,4.728897293,42986.66461,289014000000.0,8.69685925,3.48564353,292987000000.0,77.19563415
2013,ARG,105650.0,12000000.0,14.61717339,1.7792055359999999,2.405323787,12977.13092,552575000000.0,7.72304601,4.98687258,81240190817.0,75.98609756
2013,ARM,49100.0,16000000.0,28.359126500000002,3.111931481,3.300000002,3716.8289229999996,13327735784.0,7.27372925,4.55022679,5360220562.0,74.56136585
2013,AUS,56750.0,244000000.0,19.82939983,3.452620993,2.440049062,67652.68321,1583190000000.0,17.31142544,9.36373848,329365000000.0,82.14878049
2013,AUT,22500.0,6000000.0,53.192338799999995,0.10538799900000001,0.124223545,50504.715319999996,417192000000.0,16.33091808,11.1377909,216739000000.0,81.13658537
2013,AZE,81950.0,398000000.0,48.72392485,3.560929515,5.796678396,7811.621418000001,57484512428.0,3.4957035000000003,5.53755045,19765583174.0,70.69058537
2013,BDI,51050.0,3000000.0,7.395821132000001,4.300125041,4.594054218,259.3652082,3443337674.0,14.01828211,8.03161378,929592021.3,56.25160976
2013,BEL,37500.0,46000000.0,81.81036067,-5.455806593999999,-0.067164785,46508.13059,514153000000.0,15.0973108,10.57290301,419550000000.0,80.58780488
2013,BFA,11450.0,8000000.0,26.19375313,4.109249913,5.708753995,698.3350349,13714554836.0,12.72407194,5.91240213,4908921489.0,58.24063415
2013,BGD,220950.0,662000000.0,19.53787411,1.73541854,6.013596067000001,954.3963997000002,160821000000.0,5.54641825,2.88285726,40135237754.0,71.2452439
2013,BGR,47300.0,12333333.33,64.65252951,3.567225222,0.862092738,7674.860559000001,55987234663.0,10.95201537,7.93021922,36277928882.0,74.86097561
2013,BHR,19460.0,72000000.0,74.45792054,3.038865272,5.41683981,24113.524840000002,23528005319.0,10.57740809,4.68637938,15216755319.0,76.54595122
2013,BHS,1300.0,26000000.0,43.75170375,4.48547421,0.010307048000000001,22554.45412,9587442600.0,13.44797791,7.04554853,4793964200.0,75.07353659
2013,BIH,10500.0,215165420.22787395,33.62137539,1.72573537,2.394191979,4748.0406920000005,21894746453.0,14.10585357,9.46431161,9844178264.0,76.27692683
2013,BLR,158000.0,75000000.0,60.27270849,3.072740277,1.073600801,7722.125798,75475837558.0,13.90624867,6.07206556,46436133120.0,72.47073171
2013,BLZ,1050.0,215165420.22787395,65.185742,5.673891986,1.3135593220000001,4723.594354999999,1655312751.0,13.41928526,5.79061965,1089292758.0,69.98204878
2013,BOL,83200.0,1000000.0,44.0926856,5.706622972999999,6.798568137999999,2948.032472,28527206946.0,11.959230499999999,5.9649866,11386396527.0,67.91343902
2013,BRA,713480.0,223000000.0,11.63020088,2.79768802,3.0048653589999996,12106.21004,2529720000000.0,7.05216777,8.48312451,344504000000.0,74.12243902
2013,BTN,192336.934,1000000.0,40.4599045,2.768361472,2.142496554,2383.04473,2190652209.0,8.38859599,3.82579516,1119922591.0,69.10292683
2013,CAF,8150.0,7000000.0,14.45148971,0.12200942,-36.69995244,322.36659330000003,1678826190.0,15.51645354,3.82208893,379716267.5,49.87987805
2013,CAN,65700.0,194000000.0,30.16333848,3.6386941010000005,2.4750018590000002,52413.72116,1872970000000.0,18.57342332,10.66516682,586141000000.0,81.76504878
2013,CHE,21250.0,6000000.0,72.30603116,-3.639776677,1.78057952,84658.88768,601877000000.0,22.56319371,11.70740988,412219000000.0,82.79756098
2013,CHL,106100.0,54000000.0,32.29558173,6.9880724139999995,3.976596199,15764.75545,279237000000.0,15.31763039,7.5312947,91642329744.0,81.19792683
2013,CHN,2993000.0,1390000000.0,24.50498208,3.0282256760000004,7.757635146,7077.770594,9372350000000.0,10.28492085,5.38570406,2119380000000.0,75.58514634
2013,CIV,25000.0,6000000.0,41.53105069,1.3033323940000001,8.889421302,1445.910582,30346498259.0,8.20381845,5.80954361,12066656546.0,51.20846341
2013,CMR,23200.0,133000000.0,20.65738013,1.850846649,5.561688129,1331.200021,32007418428.0,4.62177535,4.29309731,8547785604.0,55.04180488
2013,COD,134250.0,1000000.0,33.86901982,-1.3348850859999999,8.503503317,413.69579839999994,32394528220.0,9.28150182,3.88677527,12545437686.0,58.27192683
2013,COG,12000.0,12000000.0,76.53245476,20.68695645,3.4407052489999996,3205.457783,12612404838.0,8.70635969,5.09464112,9306801119.0,61.66639024
2013,COL,455750.0,164000000.0,17.571925,4.2632887969999995,4.874065579,8030.690861,389902000000.0,18.14280077,6.8432,76517618155.0,73.80973171
2013,CYP,12750.0,23500000.0,58.72051308,-25.04749566,-5.95274791,27907.967360000002,23615772703.0,7.58416196,7.45866684,13686006373.0,79.94978049
2013,CZE,24100.0,15000000.0,76.87095181,3.513606851,-0.483671041,19916.01939,197333000000.0,14.90725275,7.48649513,148900000000.0,78.17560976
2013,DEU,181550.0,113000000.0,45.457710600000006,1.6711998590000001,0.48958448200000004,46530.91143,3528930000000.0,19.25261037,11.16480314,1482230000000.0,80.4902439
2013,DJI,12950.0,5000000.0,39.14798129337704,19.65666445,4.999907255,1682.948665,578660241178.375,14.13973888,9.13982602,156643037474.63104,61.68646341
2013,DNK,17200.0,42000000.0,54.82881332,-0.250948231,0.933349282,61191.19263,320882000000.0,16.77062335,11.24700751,165681000000.0,80.3
2013,DOM,61000.0,6500000.0,25.30412233,2.581902166,4.742064192,6026.989889,65790072582.0,15.53786666,4.11902833,19504068305.0,73.31990244
2013,DZA,317200.0,302000000.0,33.21501693,0.806725693,2.7676388660000004,5492.115804,203831000000.0,9.94780509,7.12438268,63767462894.0,74.56895122
2013,ECU,58983.0,11000000.0,28.638288300000003,0.76402482,4.946511267,6074.181971,97345780000.0,8.76083351,7.28688971,29459627000.0,75.6485122
2013,EGY,835500.0,675000000.0,17.17105977,1.4657466380000002,2.106724617,3264.450063,304300000000.0,5.54561079,5.46252124,67399869699.0,70.92578049
2013,ESP,213950.0,176000000.0,32.2193882,3.839669344,-1.7058948680000001,29210.093419999997,1317440000000.0,14.50363504,9.09572402,394421000000.0,83.07804878
